date,is_open,tdid,did
20200325,1,14899,107390
20200326,1,14900,107391
20200327,1,14901,107392
20200328,0,14901,107393
20200329,0,14901,107394
20200330,1,14902,107395
20200331,1,14903,107396
20200401,1,14904,107397
20200402,1,14905,107398
20200403,1,14906,107399
20200404,0,14906,107400
20200405,0,14906,107401
20200406,0,14906,107402
20200407,1,14907,107403
20200408,1,14908,107404
20200409,1,14909,107405
20200410,1,14910,107406
20200411,0,14910,107407
20200412,0,14910,107408
20200413,1,14911,107409
20200414,1,14912,107410
20200415,1,14913,107411
20200416,1,14914,107412
20200417,1,14915,107413
20200418,0,14915,107414
20200419,0,14915,107415
20200420,1,14916,107416
20200421,1,14917,107417
20200422,1,14918,107418
20200423,1,14919,107419
20200424,1,14920,107420
20200425,0,14920,107421
20200426,0,14920,107422
20200427,1,14921,107423
20200428,1,14922,107424
20200429,1,14923,107425
20200430,1,14924,107426
20200501,0,14924,107427
20200502,0,14924,107428
20200503,0,14924,107429
20200504,0,14924,107430
20200505,0,14924,107431
20200506,1,14925,107432
20200507,1,14926,107433
20200508,1,14927,107434
20200509,0,14927,107435
20200510,0,14927,107436
20200511,1,14928,107437
20200512,1,14929,107438
20200513,1,14930,107439
20200514,1,14931,107440
20200515,1,14932,107441
20200516,0,14932,107442
20200517,0,14932,107443
20200518,1,14933,107444
20200519,1,14934,107445
20200520,1,14935,107446
20200521,1,14936,107447
20200522,1,14937,107448
20200523,0,14937,107449
20200524,0,14937,107450
20200525,1,14938,107451
20200526,1,14939,107452
20200527,1,14940,107453
20200528,1,14941,107454
20200529,1,14942,107455
20200530,0,14942,107456
20200531,0,14942,107457
20200601,1,14943,107458
20200602,1,14944,107459
20200603,1,14945,107460
20200604,1,14946,107461
20200605,1,14947,107462
20200606,0,14947,107463
20200607,0,14947,107464
20200608,1,14948,107465
20200609,1,14949,107466
20200610,1,14950,107467
20200611,1,14951,107468
20200612,1,14952,107469
20200613,0,14952,107470
20200614,0,14952,107471
20200615,1,14953,107472
20200616,1,14954,107473
20200617,1,14955,107474
20200618,1,14956,107475
20200619,1,14957,107476
20200620,0,14957,107477
20200621,0,14957,107478
20200622,1,14958,107479
20200623,1,14959,107480
20200624,1,14960,107481
20200625,0,14960,107482
20200626,0,14960,107483
20200627,0,14960,107484
20200628,0,14960,107485
20200629,1,14961,107486
20200630,1,14962,107487
20200701,1,14963,107488
20200702,1,14964,107489
20200703,1,14965,107490
20200704,0,14965,107491
20200705,0,14965,107492
20200706,1,14966,107493
20200707,1,14967,107494
20200708,1,14968,107495
20200709,1,14969,107496
20200710,1,14970,107497
20200711,0,14970,107498
20200712,0,14970,107499
20200713,1,14971,107500
20200714,1,14972,107501
20200715,1,14973,107502
20200716,1,14974,107503
20200717,1,14975,107504
20200718,0,14975,107505
20200719,0,14975,107506
20200720,1,14976,107507
20200721,1,14977,107508
20200722,1,14978,107509
20200723,1,14979,107510
20200724,1,14980,107511
20200725,0,14980,107512
20200726,0,14980,107513
20200727,1,14981,107514
20200728,1,14982,107515
20200729,1,14983,107516
20200730,1,14984,107517
20200731,1,14985,107518
20200801,0,14985,107519
20200802,0,14985,107520
20200803,1,14986,107521
20200804,1,14987,107522
20200805,1,14988,107523
20200806,1,14989,107524
20200807,1,14990,107525
20200808,0,14990,107526
20200809,0,14990,107527
20200810,1,14991,107528
20200811,1,14992,107529
20200812,1,14993,107530
20200813,1,14994,107531
20200814,1,14995,107532
20200815,0,14995,107533
20200816,0,14995,107534
20200817,1,14996,107535
20200818,1,14997,107536
20200819,1,14998,107537
20200820,1,14999,107538
20200821,1,15000,107539
20200822,0,15000,107540
20200823,0,15000,107541
20200824,1,15001,107542
20200825,1,15002,107543
20200826,1,15003,107544
20200827,1,15004,107545
20200828,1,15005,107546
20200829,0,15005,107547
20200830,0,15005,107548
20200831,1,15006,107549
20200901,1,15007,107550
20200902,1,15008,107551
20200903,1,15009,107552
20200904,1,15010,107553
20200905,0,15010,107554
20200906,0,15010,107555
20200907,1,15011,107556
20200908,1,15012,107557
20200909,1,15013,107558
20200910,1,15014,107559
20200911,1,15015,107560
20200912,0,15015,107561
20200913,0,15015,107562
20200914,1,15016,107563
20200915,1,15017,107564
20200916,1,15018,107565
20200917,1,15019,107566
20200918,1,15020,107567
20200919,0,15020,107568
20200920,0,15020,107569
20200921,1,15021,107570
20200922,1,15022,107571
20200923,1,15023,107572
20200924,1,15024,107573
20200925,1,15025,107574
20200926,0,15025,107575
20200927,0,15025,107576
20200928,1,15026,107577
20200929,1,15027,107578
20200930,1,15028,107579
20201001,0,15028,107580
20201002,0,15028,107581
20201003,0,15028,107582
20201004,0,15028,107583
20201005,0,15028,107584
20201006,0,15028,107585
20201007,0,15028,107586
20201008,0,15028,107587
20201009,1,15029,107588
20201010,0,15029,107589
