ts_code,symbol,name,list_date,list_status
000970.SZ,000970,中科三环,20000420,L
000971.SZ,000971,ST高升,20000427,L
000972.SZ,000972,*ST中基,20000926,L
000973.SZ,000973,佛塑科技,20000525,L
000975.SZ,000975,银泰黄金,20000608,L
000976.SZ,000976,华铁股份,20000601,L
000977.SZ,000977,浪潮信息,20000608,L
000978.SZ,000978,桂林旅游,20000518,L
000980.SZ,000980,*ST众泰,20000616,L
000981.SZ,000981,*ST银亿,20000622,L
000982.SZ,000982,中银绒业,20000706,L
000983.SZ,000983,山西焦煤,20000726,L
000985.SZ,000985,大庆华科,20000726,L
000987.SZ,000987,越秀金控,20000718,L
000988.SZ,000988,华工科技,20000608,L
000989.SZ,000989,九芝堂,20000628,L
000990.SZ,000990,诚志股份,20000706,L
000993.SZ,000993,闽东电力,20000731,L
000995.SZ,000995,皇台酒业,20000807,L
000996.SZ,000996,中国中期,20000718,L
000997.SZ,000997,新大陆,20000807,L
000998.SZ,000998,隆平高科,20001211,L
000999.SZ,000999,华润三九,20000309,L
001201.SZ,001201,东瑞股份,20210428,L
001202.SZ,001202,炬申股份,20210429,L
001203.SZ,001203,大中矿业,20210510,L
001205.SZ,001205,盛航股份,20210513,L
001206.SZ,001206,依依股份,20210518,L
001207.SZ,001207,联科科技,20210623,L
001208.SZ,001208,华菱线缆,20210624,L
001209.SZ,001209,洪兴股份,20210723,L
001210.SZ,001210,金房节能,20210729,L
001211.SZ,001211,双枪科技,20210805,L
001212.SZ,001212,中旗新材,20210823,L
001213.SZ,001213,中铁特货,20210908,L
001215.SZ,001215,千味央厨,20210906,L
001216.SZ,001216,华瓷股份,20211019,L
001217.SZ,001217,华尔泰,20210929,L
001218.SZ,001218,丽臣实业,20211015,L
001219.SZ,001219,青岛食品,20211021,L
001267.SZ,001267,汇绿生态,20211117,L
001288.SZ,001288,运机集团,20211101,L
001696.SZ,001696,宗申动力,19970306,L
001872.SZ,001872,招商港口,19930505,L
001896.SZ,001896,豫能控股,19980122,L
001914.SZ,001914,招商积余,19940928,L
001965.SZ,001965,招商公路,20171225,L
001979.SZ,001979,招商蛇口,20151230,L
002001.SZ,002001,新和成,20040625,L
002002.SZ,002002,鸿达兴业,20040625,L
002003.SZ,002003,伟星股份,20040625,L
002004.SZ,002004,华邦健康,20040625,L
002005.SZ,002005,ST德豪,20040625,L
002006.SZ,002006,精功科技,20040625,L
002007.SZ,002007,华兰生物,20040625,L
002008.SZ,002008,大族激光,20040625,L
002009.SZ,002009,天奇股份,20040629,L
002010.SZ,002010,传化智联,20040629,L
002011.SZ,002011,盾安环境,20040705,L
002012.SZ,002012,凯恩股份,20040705,L
002013.SZ,002013,中航机电,20040705,L
002014.SZ,002014,永新股份,20040708,L
002015.SZ,002015,协鑫能科,20040708,L
002016.SZ,002016,世荣兆业,20040708,L
002017.SZ,002017,东信和平,20040713,L
002019.SZ,002019,亿帆医药,20040713,L
002020.SZ,002020,京新药业,20040715,L
002021.SZ,002021,ST中捷,20040715,L
002022.SZ,002022,科华生物,20040721,L
002023.SZ,002023,海特高新,20040721,L
002024.SZ,002024,苏宁易购,20040721,L
002025.SZ,002025,航天电器,20040726,L
002026.SZ,002026,山东威达,20040727,L
002027.SZ,002027,分众传媒,20040804,L
002028.SZ,002028,思源电气,20040805,L
002029.SZ,002029,七匹狼,20040806,L
002030.SZ,002030,达安基因,20040809,L
002031.SZ,002031,巨轮智能,20040816,L
002032.SZ,002032,苏泊尔,20040817,L
002033.SZ,002033,丽江股份,20040825,L
002034.SZ,002034,旺能环境,20040826,L
002035.SZ,002035,华帝股份,20040901,L
002036.SZ,002036,联创电子,20040903,L
002037.SZ,002037,保利联合,20040908,L
002038.SZ,002038,双鹭药业,20040909,L
002039.SZ,002039,黔源电力,20050303,L
002040.SZ,002040,南京港,20050325,L
002041.SZ,002041,登海种业,20050418,L
002042.SZ,002042,华孚时尚,20050427,L
002043.SZ,002043,兔宝宝,20050510,L
002044.SZ,002044,美年健康,20050518,L
002045.SZ,002045,国光电器,20050523,L
002046.SZ,002046,国机精工,20050526,L
002047.SZ,002047,宝鹰股份,20050531,L
002048.SZ,002048,宁波华翔,20050603,L
002049.SZ,002049,紫光国微,20050606,L
002050.SZ,002050,三花智控,20050607,L
002051.SZ,002051,中工国际,20060619,L
002052.SZ,002052,ST同洲,20060627,L
002053.SZ,002053,云南能投,20060627,L
002054.SZ,002054,德美化工,20060725,L
002055.SZ,002055,得润电子,20060725,L
002056.SZ,002056,横店东磁,20060802,L
002057.SZ,002057,中钢天源,20060802,L
002058.SZ,002058,*ST威尔,20060802,L
002059.SZ,002059,云南旅游,20060810,L
002060.SZ,002060,粤水电,20060810,L
002061.SZ,002061,浙江交科,20060816,L
002062.SZ,002062,宏润建设,20060816,L
002063.SZ,002063,远光软件,20060823,L
002064.SZ,002064,华峰化学,20060823,L
002065.SZ,002065,东华软件,20060823,L
002066.SZ,002066,瑞泰科技,20060823,L
002067.SZ,002067,景兴纸业,20060915,L
002068.SZ,002068,黑猫股份,20060915,L
002069.SZ,002069,獐子岛,20060928,L
002072.SZ,002072,*ST凯瑞,20061018,L
002073.SZ,002073,软控股份,20061018,L
002074.SZ,002074,国轩高科,20061018,L
002075.SZ,002075,沙钢股份,20061025,L
002076.SZ,002076,ST雪莱,20061025,L
002077.SZ,002077,大港股份,20061116,L
002078.SZ,002078,太阳纸业,20061116,L
002079.SZ,002079,苏州固锝,20061116,L
002080.SZ,002080,中材科技,20061120,L
002081.SZ,002081,金螳螂,20061120,L
002082.SZ,002082,万邦德,20061120,L
002083.SZ,002083,孚日股份,20061124,L
002084.SZ,002084,海鸥住工,20061124,L
002085.SZ,002085,万丰奥威,20061128,L
002086.SZ,002086,*ST东洋,20061128,L
002087.SZ,002087,新野纺织,20061130,L
002088.SZ,002088,鲁阳节能,20061130,L
002089.SZ,002089,ST新海,20061130,L
002090.SZ,002090,金智科技,20061208,L
002091.SZ,002091,江苏国泰,20061208,L
002092.SZ,002092,中泰化学,20061208,L
002093.SZ,002093,国脉科技,20061215,L
002094.SZ,002094,青岛金王,20061215,L
002095.SZ,002095,生意宝,20061215,L
002096.SZ,002096,南岭民爆,20061222,L
002097.SZ,002097,山河智能,20061222,L
002098.SZ,002098,浔兴股份,20061222,L
002099.SZ,002099,海翔药业,20061226,L
002100.SZ,002100,天康生物,20061226,L
002101.SZ,002101,广东鸿图,20061229,L
002102.SZ,002102,ST冠福,20061229,L
002103.SZ,002103,广博股份,20070110,L
002104.SZ,002104,恒宝股份,20070110,L
002105.SZ,002105,信隆健康,20070112,L
002106.SZ,002106,莱宝高科,20070112,L
002107.SZ,002107,沃华医药,20070124,L
002108.SZ,002108,沧州明珠,20070124,L
002109.SZ,002109,兴化股份,20070126,L
002110.SZ,002110,三钢闽光,20070126,L
002111.SZ,002111,威海广泰,20070126,L
002112.SZ,002112,三变科技,20070208,L
002113.SZ,002113,ST天润,20070208,L
002114.SZ,002114,罗平锌电,20070215,L
002115.SZ,002115,三维通信,20070215,L
002116.SZ,002116,中国海诚,20070215,L
002117.SZ,002117,东港股份,20070302,L
002118.SZ,002118,紫鑫药业,20070302,L
002119.SZ,002119,康强电子,20070302,L
002120.SZ,002120,韵达股份,20070306,L
002121.SZ,002121,科陆电子,20070306,L
002122.SZ,002122,ST天马,20070328,L
002123.SZ,002123,梦网科技,20070328,L
002124.SZ,002124,天邦股份,20070403,L
002125.SZ,002125,湘潭电化,20070403,L
002126.SZ,002126,银轮股份,20070418,L
002127.SZ,002127,南极电商,20070418,L
002128.SZ,002128,电投能源,20070418,L
002129.SZ,002129,中环股份,20070420,L
002130.SZ,002130,沃尔核材,20070420,L
002131.SZ,002131,利欧股份,20070427,L
002132.SZ,002132,恒星科技,20070427,L
002133.SZ,002133,广宇集团,20070427,L
002134.SZ,002134,天津普林,20070516,L
002135.SZ,002135,东南网架,20070530,L
002136.SZ,002136,安纳达,20070530,L
002137.SZ,002137,实益达,20070613,L
002138.SZ,002138,顺络电子,20070613,L
002139.SZ,002139,拓邦股份,20070629,L
002140.SZ,002140,东华科技,20070712,L
002141.SZ,002141,贤丰控股,20070720,L
002142.SZ,002142,宁波银行,20070719,L
002144.SZ,002144,宏达高科,20070803,L
002145.SZ,002145,中核钛白,20070803,L
002146.SZ,002146,荣盛发展,20070808,L
002147.SZ,002147,*ST新光,20070808,L
002148.SZ,002148,北纬科技,20070810,L
002149.SZ,002149,西部材料,20070810,L
002150.SZ,002150,通润装备,20070810,L
002151.SZ,002151,北斗星通,20070813,L
002152.SZ,002152,广电运通,20070813,L
002153.SZ,002153,石基信息,20070813,L
002154.SZ,002154,报喜鸟,20070816,L
002155.SZ,002155,湖南黄金,20070816,L
002156.SZ,002156,通富微电,20070816,L
002157.SZ,002157,正邦科技,20070817,L
002158.SZ,002158,汉钟精机,20070817,L
002159.SZ,002159,三特索道,20070817,L
002160.SZ,002160,常铝股份,20070821,L
002161.SZ,002161,远望谷,20070821,L
002162.SZ,002162,悦心健康,20070823,L
002163.SZ,002163,海南发展,20070823,L
